job_title,company_name,location
पुराना सवारी साधन (चार/दुई पाङ्ग्रे) बिक्रीका लागि गोप्य शिलबन्दी बोलपत्र आह्वान गरिएको सूचना,PHASE Nepal,Bhaktapur
Various Positions,Uni Ladder Consultancy Pvt Ltd,"Kathmandu, Pokhara"
सिलबन्दी दरभाउपत्रको सूचना आह्वान,Kalika Self Reliance Social Center,Kapilvastu
MEAL Officer / School Officer,Sindhuli Integrated Development Services Nepal (SIDS Nepal),Sindhuli
बोलपत्र आह्वानको सूचना,PESWAN (Preservation of Environment and Social Welfare Association of Nepal),Kanchanpur
Request for Proposals for a Long-Term Agreement for Security Guard Services,World Vision International Nepal,Lalitpur
Cook Helper,Aveeva Cafe,Bhaktapur
Field Officer (Clinical) / Community Mobilizer (CM),"Save the Saptari, Rajbiraj",Rajbiraj
Junior Frontend Developer,Cyberlink Pvt. Ltd.,Lalitpur
Academic Coordinator- Madhesh,British Council,Madhesh Province
Terms of Reference (TOR)- Finance and Admin Assistant,Governance Lab,Lalitpur
ToR for  Production and Dissemination of Short Videos and Radio Public Service Announcements (PSAs) on Ecosystem-based Adaptation (EbA),Heifer International Nepal,Lalitpur
"Terms of Reference (ToR)  for   Designing and Conducting Street Drama Events on Ecosystem-based Adaptation (EbA) in Marin Rural Municipality, Sindhuli and Gadhimai Municipality, Rautahat",Heifer International Nepal,Lalitpur
Compliance Officer,The Organic Valley Pvt Ltd,Kathmandu
Pedagogical Resource Person,Jan Jagaran Youth Club (JJYC) Bara,Kalaiya
Medical Representative (MR),Raj Anand Medifabs,Nepalgunj
Full Stack Developer (React + FastAPI),FAITH,Lalitpur
Digital and IT Support Officer,The Organic Valley Pvt Ltd,Kathmandu
Auction Notice,CARE Nepal,Lalitpur
Request for Quotation for Staff General Health Checkup,Heifer International Nepal,Lalitpur
Expression of Interest,Centre for Mental Health & Counselling Nepal,
Documentation and Advocacy Officer (Level – 6),Collective Campaign for Child Rights (CCR-Karnali Province),Surkhet
Dyeing Factory Worker,Kamal Rug,Lalitpur
Video Host (Real Estate Company),Property in nepal Pvt.ltd,Lalitpur
Call for Application for a PhD Fellowship (﻿﻿﻿﻿Re-Advertisement),Nepal Health Economics Association,Kathmandu
Admin and Finance Assistant Officer,Village Development and Save the    Environment Forum (VDSEF) Nepal Kalikot,Kalikot
Receptionist & Booking Operator,Zen Nest,Kathmandu
बोलपत्र आव्हानको सुचना,Social Awareness Center SAC Nepal,Surkhet
Invitation for Bids for the Construction of School Building and Allied Works,Indreni Social Development Forum,Nawalparasi
Marketing Officer,Jo Beauty Pvt. Ltd.,Kathmandu
Recall -RFP- Hiring an Engineering Company for Accessibility Enhancement Works,﻿﻿﻿﻿﻿﻿CBM Global Nepal Country Office,Lalitpur
REQUEST FOR QUOTATION (RFQ),Helen Keller Intl Nepal,Lalitpur
Various Positions,Ullens Education Foundation,"Kathmandu, Lalitpur"
Prosthesis & Orthotics Technologist,International Nepal Fellowship (Nepal),Pokhara
Various Positions,Yangri Academic Center,sindhupalchowk
Expression of Interest for Vendor Listing,FAIRMED Foundation Nepal,
Request for Proposal For Conducting the Final Evaluation of The Enhanced Rural AI (TERAI) Project for Smallholder Dairy Farmers in Nepal,ADRA Nepal,Kathmandu
Civil Engineer/Overseer,Sitganga Hydropower Company Private Limited,Kathmandu
Request for Proposal for Consultancy for Capacity Assessment of Provincial Health Training Centres (PHTCs) in Nepal,ADRA Nepal,Lalitpur
बोलपत्र आह्वान सम्बन्धि  सूचना,Relief Nepal,Sindhuli
Health Promotion Officer,Action For Nepal,Taplejung
Terms of Reference for Project Evaluation,World Child Cancer,Kathmandu
Request for Proposal (RFP) for Mid Term Evaluation,Heifer International Nepal,Lalitpur
